,Account,Month,Prorated_Consumption,Prorated_Charge
586,70772-MN10153,2018-12-01,2486.4285714285716,489.5428571428572
587,47082-MN10072,2015-12-01,408839.39354838716,27346.42870967742
588,47082-MN10072,2016-01-01,556101.2096774194,37339.5235483871
589,47082-MN10072,2016-02-01,523791.90788530465,9679.199964157708
590,47082-MN10072,2016-03-01,499506.1951388889,27320.911840277775
591,47082-MN10072,2016-04-01,485975.7743951613,33762.07496975807
592,47082-MN10072,2016-05-01,510949.9693548387,35436.50024360401
593,47082-MN10072,2016-06-01,524180.82666666666,35961.604724137935
594,47082-MN10072,2016-07-01,550800.9459139785,39526.322774193555
595,47082-MN10072,2016-08-01,540615.5322580646,37894.33096774194
596,47082-MN10072,2016-09-01,513243.49343715236,35884.53156840934
597,47082-MN10072,2016-10-01,495292.0484983315,34795.63068965517
598,47082-MN10072,2016-11-01,469282.2580645162,32348.816129032257
599,47082-MN10072,2016-12-01,531637.2951612903,36489.883870967744
600,47082-MN10072,2017-01-01,549605.1499999999,38001.918620689656
601,47082-MN10072,2017-02-01,460420.5,32263.518879310348
602,47082-MN10072,2017-03-01,491511.7,34612.924499999994
603,47082-MN10072,2017-04-01,458281.94999999995,32086.143
604,47082-MN10072,2017-05-01,478492.3933333333,34034.416333333334
605,47082-MN10072,2017-06-01,490900.9657575757,34063.64987878788
606,47082-MN10072,2017-07-01,523748.01159874606,36571.82154649948
607,47082-MN10072,2017-08-01,498949.95203761756,34767.20845350052
608,47082-MN10072,2017-09-01,454244.62382445135,32602.71671891327
609,47082-MN10072,2017-10-01,443325.6820197044,32105.16849753695
610,47082-MN10072,2017-11-01,428160.34142857144,30936.42757142857
611,47082-MN10072,2017-12-01,498384.6058064516,34781.565354838705
612,47082-MN10072,2018-01-01,479411.23548387096,35523.03032258064
613,47082-MN10072,2018-02-01,423720.08698553947,32283.7013570634
614,47082-MN10072,2018-03-01,467275.6517241379,33453.31896551724
615,47082-MN10072,2018-04-01,452685.8172413793,33237.93689655173
616,47082-MN10072,2018-05-01,450439.9227586207,34998.587103448284
617,47082-MN10072,2018-06-01,449051.86,32359.550545454545
618,47082-MN10072,2018-07-01,468361.20666666667,33611.89478787879
619,47082-MN10072,2018-08-01,461587.49020833336,32909.83004166667
620,47082-MN10072,2018-09-01,437486.203125,31813.890625
621,47095-MN10119,2015-12-01,4967.272727272727,1178.7345454545455
622,47095-MN10119,2016-01-01,20685.32727272727,4890.523454545455
623,47095-MN10119,2016-02-01,24747.46896551724,5784.103379310345
624,47095-MN10119,2016-03-01,25122.212284482757,5815.016120689655
625,47095-MN10119,2016-04-01,23708.098060344826,5402.491810344827
626,47095-MN10119,2016-05-01,26560.054022988505,7115.669689655172
627,47095-MN10119,2016-06-01,27428.629166666666,9151.49475
628,47095-MN10119,2016-07-01,30980.178879310344,9035.749008620689
629,47095-MN10119,2016-08-01,34041.35862068966,9759.79324137931
630,47095-MN10119,2016-09-01,28984.4,8056.484
631,47095-MN10119,2016-10-01,31173.379310344826,9728.368275862069
632,47095-MN10119,2016-11-01,24916.88735632184,6569.849057471265
633,47095-MN10119,2016-12-01,20446.82424242424,5140.704484848485
634,47095-MN10119,2017-01-01,20759.542424242427,5101.248181818181
635,47095-MN10119,2017-02-01,20689.85053763441,5083.380322580645
636,47095-MN10119,2017-03-01,24112.849462365593,5795.923010752688
637,47095-MN10119,2017-04-01,24738.2183908046,5930.470114942528
638,47095-MN10119,2017-05-01,22358.94827586207,6382.418739224138
639,47095-MN10119,2017-06-01,21435.5,6136.489479166667
640,47095-MN10119,2017-07-01,24097.8275862069,7439.06143678161
641,47095-MN10119,2017-08-01,17660.03099965169,5514.123361198189
642,47095-MN10119,2017-09-01,6174.400731452457,1959.759759665622
643,47095-MN10119,2017-10-01,23654.9175374434,7492.587981539533
644,47095-MN10119,2017-11-01,20168.27314524556,6953.18579414838
645,47095-MN10119,2017-12-01,19991.0702020202,7109.8656565656565
646,47095-MN10119,2018-01-01,20682.06717171717,6547.940777777778
647,47095-MN10119,2018-02-01,20184.023330074946,6085.35806712284
648,47095-MN10119,2018-03-01,18942.100407298793,5775.189276311502
649,47095-MN10119,2018-04-01,19930.317972831766,6349.899621734588
650,47095-MN10119,2018-05-01,20359.53600240447,6105.248026033416
651,47095-MN10119,2018-06-01,17243.43743890518,5147.424887585533
652,47095-MN10119,2018-07-01,1843.95202020202,621.1100505050505
653,47095-MN10119,2018-08-01,1843.95202020202,621.1100505050505
654,47095-MN10119,2018-09-01,1368.0934343434344,460.8235858585859
655,47098-MN10125,2015-12-01,117303.52941176471,11591.302058823527
656,47098-MN10125,2016-01-01,180268.88438133875,19965.567251521297
657,47098-MN10125,2016-02-01,167382.06896551725,18946.776896551724
658,47098-MN10125,2016-03-01,164175.83982202449,17874.63508342603
659,47098-MN10125,2016-04-01,151647.6084538376,17045.6166407119
660,47098-MN10125,2016-05-01,165846.06896551725,7267.7250689655175
661,47098-MN10125,2016-06-01,179001.0,15545.2845
662,47098-MN10125,2016-07-01,190408.10344827588,22160.779051724137
663,47098-MN10125,2016-08-01,181182.89655172414,21314.398781609194
664,47098-MN10125,2016-09-01,161984.0,18964.97811494253
665,47098-MN10125,2016-10-01,163556.12903225806,17679.988809788654
666,47098-MN10125,2016-11-01,162874.83870967742,16856.949032258064
667,47098-MN10125,2016-12-01,184839.62049335864,17833.678709677417
668,47098-MN10125,2017-01-01,186070.1014198783,18732.606896551722
669,47098-MN10125,2017-02-01,152336.55172413794,16456.190689655174
670,47098-MN10125,2017-03-01,159277.59733036708,17656.763058954395
671,47098-MN10125,2017-04-01,148258.95439377087,17983.11245828699
672,47098-MN10125,2017-05-01,146647.54022988505,19133.32622988506
673,47098-MN10125,2017-06-01,177118.66666666666,21331.325041666667
674,47098-MN10125,2017-07-01,195351.0344827586,23281.070452586206
675,47098-MN10125,2017-08-01,192399.63218390802,22872.916505747125
676,47098-MN10125,2017-09-01,180698.2988505747,21464.62901149425
677,47098-MN10125,2017-10-01,179722.00222469412,19964.67642936596
678,47098-MN10125,2017-11-01,165089.03225806452,17925.714193548385
679,47098-MN10125,2017-12-01,164122.35294117648,17631.936091081592
680,47098-MN10125,2018-01-01,161312.12981744422,18357.02638945233
681,47098-MN10125,2018-02-01,166466.2068965517,18222.380689655172
682,47098-MN10125,2018-03-01,197059.3103448276,20793.673281423802
683,47098-MN10125,2018-04-01,164656.55172413794,19580.444649610676
684,47098-MN10125,2018-05-01,151674.11494252871,19799.193264367816
685,47098-MN10125,2018-06-01,155994.3333333333,20200.32247916667
686,47098-MN10125,2018-07-01,173583.9655172414,22675.296325431034
687,47098-MN10125,2018-08-01,161483.0344827586,20323.473862068964
688,47098-MN10125,2018-09-01,143979.03448275864,18335.218551724138
689,47098-MN10125,2018-10-01,119214.77196885429,15371.05570634038
690,47098-MN10125,2018-11-01,122507.52688172043,15106.884408602149
691,47098-MN10125,2018-12-01,20826.666666666664,2546.913333333333
692,47121-MN10129,2015-12-01,20151.724137931036,1919.2344827586207
693,47121-MN10129,2016-01-01,43205.85161964473,3558.224305120167
694,47121-MN10129,2016-02-01,42005.1828631139,3126.8012121212123
695,47121-MN10129,2016-03-01,43837.24137931035,3413.67
696,47121-MN10129,2016-04-01,40200.0,3219.4646428571427
697,47121-MN10129,2016-05-01,42656.470588235294,3727.9400630252103
698,47121-MN10129,2016-06-01,46065.6346749226,2978.5310835913315
699,47121-MN10129,2016-07-01,51818.94736842105,1999.7121052631583
700,47121-MN10129,2016-08-01,54781.44736842105,3896.1205427631576
701,47121-MN10129,2016-09-01,48146.833333333336,4308.550229166667
702,47121-MN10129,2016-10-01,42822.09523809524,3738.589904761905
703,47121-MN10129,2016-11-01,42228.57142857143,3271.545714285714
704,47121-MN10129,2016-12-01,45590.857142857145,3385.0062857142857
705,47121-MN10129,2017-01-01,44411.90147783251,3299.9380492610835
706,47121-MN10129,2017-02-01,36892.72525027809,2802.8887986651835
707,47121-MN10129,2017-03-01,39352.51612903226,3199.749580645161
708,47121-MN10129,2017-04-01,36910.620689655174,3122.718172413793
709,47121-MN10129,2017-05-01,40456.379310344826,3679.2451400862074
710,47121-MN10129,2017-06-01,43466.379310344826,4141.46520474138
