,Account,Month,Imputed_KWH,Imputed_Charges
116,Building_Code-B9 - Account_ID-1024,2016-02-01,390920.43010752695,61053.011881720435
117,Building_Code-B9 - Account_ID-1024,2016-03-01,370316.3515016685,64188.39817575084
118,Building_Code-B9 - Account_ID-1024,2016-04-01,365931.03448275867,61980.28103448276
119,Building_Code-B9 - Account_ID-1024,2016-05-01,384352.183908046,74630.11090804599
120,Building_Code-B9 - Account_ID-1024,2016-06-01,445913.3333333333,107786.85727083334
121,Building_Code-B9 - Account_ID-1024,2016-07-01,515086.2068965517,131636.57733836205
122,Building_Code-B9 - Account_ID-1024,2016-08-01,531880.4597701149,130558.4523908046
123,Building_Code-B9 - Account_ID-1024,2016-09-01,421023.6559139785,110304.74320430108
124,Building_Code-B9 - Account_ID-1024,2016-10-01,364256.34408602153,95891.08746236558
125,Building_Code-B9 - Account_ID-1024,2016-11-01,376693.3333333334,65851.544
126,Building_Code-B9 - Account_ID-1024,2016-12-01,416042.35294117645,68320.25231372549
127,Building_Code-B9 - Account_ID-1024,2017-01-01,428567.6470588235,68654.38610294116
128,Building_Code-B9 - Account_ID-1024,2017-02-01,395577.5862068966,67142.31004310345
129,Building_Code-B9 - Account_ID-1024,2017-03-01,455972.4137931034,71821.13334975367
130,Building_Code-B9 - Account_ID-1024,2017-04-01,421406.8965517242,69139.91940886699
131,Building_Code-B9 - Account_ID-1024,2017-05-01,447926.4367816092,78468.39211494253
132,Building_Code-B9 - Account_ID-1024,2017-06-01,470066.6666666666,91336.51883333334
133,Building_Code-B9 - Account_ID-1024,2017-07-01,526834.4827586206,127602.4849137931
134,Building_Code-B9 - Account_ID-1024,2017-08-01,489125.5172413793,121750.37058620689
135,Building_Code-B9 - Account_ID-1024,2017-09-01,462214.1935483871,107976.20829032258
136,Building_Code-B9 - Account_ID-1024,2017-10-01,457625.8064516129,85094.46570967742
137,Building_Code-B9 - Account_ID-1024,2017-11-01,419920.0,65111.543
138,Building_Code-B9 - Account_ID-1024,2017-12-01,448221.1764705882,60407.09352941176
139,Building_Code-B9 - Account_ID-1024,2018-01-01,484083.82352941175,66917.63178308823
140,Building_Code-B9 - Account_ID-1024,2018-02-01,391581.8965517241,55247.46985991379
141,Building_Code-B9 - Account_ID-1024,2018-03-01,435448.2758620689,64976.95620689656
142,Building_Code-B9 - Account_ID-1024,2018-04-01,415944.8275862069,62978.06689655172
143,Building_Code-B9 - Account_ID-1024,2018-05-01,428600.0,71731.47672413793
144,Building_Code-B9 - Account_ID-1024,2018-06-01,458280.0,75427.28700000001
145,Building_Code-B9 - Account_ID-1024,2018-07-01,574637.2413793104,102104.32662068965
146,Building_Code-B9 - Account_ID-1024,2018-08-01,557882.7586206896,142704.74137931035
147,Building_Code-B9 - Account_ID-1024,2018-09-01,489041.37931034475,144456.77586206896
148,Building_Code-B9 - Account_ID-1024,2018-10-01,474170.3853955375,76040.21913793104
149,Building_Code-B9 - Account_ID-1024,2018-11-01,379731.0924369748,58589.707142857136
150,Building_Code-B9 - Account_ID-1024,2018-12-01,478257.1428571429,53679.38035714286
151,Building_Code-B9 - Account_ID-1024,2019-01-01,446550.0,26622.6528125
152,Building_Code-B9 - Account_ID-1024,2019-02-01,415800.0,24954.78125
153,Building_Code-B145 - Account_ID-1334,2014-12-01,3870866.666666667,219270.67766666666
154,Building_Code-B145 - Account_ID-1334,2015-01-01,3862561.904761905,219189.61876190477
155,Building_Code-B145 - Account_ID-1334,2015-02-01,3376071.4285714286,196187.40294642854
156,Building_Code-B145 - Account_ID-1334,2015-03-01,3674333.3333333335,207132.61995833335
157,Building_Code-B145 - Account_ID-1334,2015-04-01,3356132.1839080458,212566.81825287358
158,Building_Code-B145 - Account_ID-1334,2015-05-01,3508878.2327586208,227175.42710129308
159,Building_Code-B145 - Account_ID-1334,2015-06-01,3459801.4112903224,256656.08144153227
160,Building_Code-B145 - Account_ID-1334,2015-07-01,3609354.838709677,276089.2574193548
161,Building_Code-B145 - Account_ID-1334,2015-08-01,3405333.3333333335,265503.3174516129
162,Building_Code-B145 - Account_ID-1334,2015-09-01,3155500.0,253995.50199999998
163,Building_Code-B145 - Account_ID-1334,2015-10-01,3121005.3763440857,207294.34958064515
164,Building_Code-B145 - Account_ID-1334,2015-11-01,2952838.7096774196,190966.81548387097
165,Building_Code-B145 - Account_ID-1334,2015-12-01,3058874.3047830923,200292.89262513907
166,Building_Code-B145 - Account_ID-1334,2016-01-01,3054319.2436040044,207928.5054393771
167,Building_Code-B145 - Account_ID-1334,2016-02-01,2851193.5483870967,189679.8112903226
168,Building_Code-B145 - Account_ID-1334,2016-03-01,3071107.897664071,204733.33637374864
169,Building_Code-B145 - Account_ID-1334,2016-04-01,2976015.0862068967,203043.79120689657
170,Building_Code-B145 - Account_ID-1334,2016-05-01,3093379.1666666665,203753.3233333333
171,Building_Code-B145 - Account_ID-1334,2016-06-01,3169571.264367816,260809.9606321839
172,Building_Code-B145 - Account_ID-1334,2016-07-01,3345862.0689655165,276140.8110344828
173,Building_Code-B145 - Account_ID-1334,2016-08-01,3280200.0,258902.918
174,Building_Code-B145 - Account_ID-1334,2016-09-01,2999283.8709677416,243555.91329032258
175,Building_Code-B145 - Account_ID-1334,2016-10-01,2880216.129032258,189223.06504301075
176,Building_Code-B145 - Account_ID-1334,2016-11-01,2281500.0,165762.39866666668
177,Building_Code-B145 - Account_ID-1334,2016-12-01,2673737.5,182785.48625
178,Building_Code-B145 - Account_ID-1334,2017-01-01,2695098.214285714,179235.99017857143
179,Building_Code-B145 - Account_ID-1334,2017-02-01,2408738.479262673,170559.28050691244
180,Building_Code-B145 - Account_ID-1334,2017-03-01,2659332.9493087553,181516.95592165898
181,Building_Code-B145 - Account_ID-1334,2017-04-01,2588438.311688312,181377.07759740262
182,Building_Code-B145 - Account_ID-1334,2017-05-01,2725521.212121212,179974.39821212122
183,Building_Code-B145 - Account_ID-1334,2017-06-01,2707772.043010752,233123.86891397848
184,Building_Code-B145 - Account_ID-1334,2017-07-01,2965548.387096774,236270.99322580642
185,Building_Code-B145 - Account_ID-1334,2017-08-01,2797888.765294772,239156.5724694105
186,Building_Code-B145 - Account_ID-1334,2017-09-01,2587411.6379310344,229178.53297413795
187,Building_Code-B145 - Account_ID-1334,2017-10-01,2662945.8333333335,180576.88074999998
188,Building_Code-B145 - Account_ID-1334,2017-11-01,2630366.6666666665,177556.65868965516
189,Building_Code-B145 - Account_ID-1334,2017-12-01,2763545.4545454546,181589.42021943573
190,Building_Code-B145 - Account_ID-1334,2018-01-01,2805847.4025974027,177907.41087662338
191,Building_Code-B145 - Account_ID-1334,2018-02-01,2528641.6256157635,172365.12442118226
192,Building_Code-B145 - Account_ID-1334,2018-03-01,2729153.0172413792,184726.83754310344
193,Building_Code-B145 - Account_ID-1334,2018-04-01,2645715.7258064514,171561.26270161293
194,Building_Code-B145 - Account_ID-1334,2018-05-01,2852303.670745272,187770.76699666295
195,Building_Code-B145 - Account_ID-1334,2018-06-01,2855230.603448276,239915.92967672413
196,Building_Code-B145 - Account_ID-1334,2018-07-01,2935207.6612903224,235815.34945564516
197,Building_Code-B145 - Account_ID-1334,2018-08-01,2886676.2672811057,234301.44670506913
198,Building_Code-B145 - Account_ID-1334,2018-09-01,2348678.5714285714,215300.52707792207
199,Building_Code-B145 - Account_ID-1334,2018-10-01,2693266.6666666665,175774.64296969696
200,Building_Code-B145 - Account_ID-1334,2018-11-01,2496765.59139785,168311.00550537632
201,Building_Code-B145 - Account_ID-1334,2018-12-01,2543354.8387096776,169964.8441935484
202,Building_Code-B145 - Account_ID-1334,2019-01-01,2555470.0460829493,150902.7338248848
203,Building_Code-B145 - Account_ID-1334,2019-02-01,2348000.0,122969.35999999999
204,Building_Code-B141 - Account_ID-1302,2014-12-01,1120.1333333333332,144.79066666666665
205,Building_Code-B141 - Account_ID-1302,2015-01-01,1187.0051282051281,173.7788717948718
206,Building_Code-B141 - Account_ID-1302,2015-02-01,1198.974358974359,211.945641025641
207,Building_Code-B141 - Account_ID-1302,2015-03-01,1468.8517628205127,170.59792467948716
208,Building_Code-B141 - Account_ID-1302,2015-04-01,2325.0032327586205,211.02604525862068
209,Building_Code-B141 - Account_ID-1302,2015-05-01,2380.3918495297803,228.88475862068967
210,Building_Code-B141 - Account_ID-1302,2015-06-01,2124.6206896551726,186.65158620689655
211,Building_Code-B141 - Account_ID-1302,2015-07-01,1884.6551724137933,189.27241379310345
212,Building_Code-B141 - Account_ID-1302,2015-08-01,259.7241379310345,66.072
213,Building_Code-B141 - Account_ID-1302,2015-09-01,37.41935483870968,46.08477419354839
214,Building_Code-B141 - Account_ID-1302,2015-10-01,77.20133481646273,48.63046718576196
215,Building_Code-B141 - Account_ID-1302,2015-11-01,525.1034482758621,75.65551724137931
216,Building_Code-B141 - Account_ID-1302,2015-12-01,1488.4758620689656,143.05224137931037
217,Building_Code-B141 - Account_ID-1302,2016-01-01,1790.5272727272727,174.69924242424244
218,Building_Code-B141 - Account_ID-1302,2016-02-01,1912.8282828282827,176.68242424242425
219,Building_Code-B141 - Account_ID-1302,2016-03-01,2351.738562091503,207.63450980392156
220,Building_Code-B141 - Account_ID-1302,2016-04-01,1914.498985801217,171.22296146044627
221,Building_Code-B141 - Account_ID-1302,2016-05-01,508.46496106785315,83.56360400444939
222,Building_Code-B141 - Account_ID-1302,2016-06-01,233.1964809384164,70.68831867057673
223,Building_Code-B141 - Account_ID-1302,2016-07-01,123.47402597402598,65.36858225108224
224,Building_Code-B141 - Account_ID-1302,2016-08-01,191.7380952380952,74.81293290043291
225,Building_Code-B141 - Account_ID-1302,2016-09-01,234.33333333333331,71.51242424242423
226,Building_Code-B141 - Account_ID-1302,2016-10-01,369.85714285714283,83.84785714285715
227,Building_Code-B141 - Account_ID-1302,2016-11-01,664.4369747899159,102.98449579831933
228,Building_Code-B141 - Account_ID-1302,2016-12-01,980.8725490196077,137.1943137254902
229,Building_Code-B141 - Account_ID-1302,2017-01-01,1250.4583333333333,162.35895833333333
230,Building_Code-B141 - Account_ID-1302,2017-02-01,1398.375,153.96723214285717
231,Building_Code-B141 - Account_ID-1302,2017-03-01,1686.0344827586207,192.34886699507388
232,Building_Code-B141 - Account_ID-1302,2017-04-01,2210.5655172413794,232.47627586206897
233,Building_Code-B141 - Account_ID-1302,2017-05-01,1507.6121212121213,213.59472727272725
234,Building_Code-B141 - Account_ID-1302,2017-06-01,304.930735930736,198.34155844155845
235,Building_Code-B141 - Account_ID-1302,2017-07-01,135.00223214285714,74.37405133928571
236,Building_Code-B141 - Account_ID-1302,2017-08-01,139.98148148148147,73.15842592592593
237,Building_Code-B141 - Account_ID-1302,2017-09-01,227.00336700336695,81.82558922558923
238,Building_Code-B141 - Account_ID-1302,2017-10-01,351.10135841170325,90.15331243469174
239,Building_Code-B141 - Account_ID-1302,2017-11-01,676.9137931034483,117.22767241379312
240,Building_Code-B141 - Account_ID-1302,2017-12-01,1041.9285714285713,170.5560714285714
241,Building_Code-B141 - Account_ID-1302,2018-01-01,1331.177489177489,261.2135497835498
242,Building_Code-B141 - Account_ID-1302,2018-02-01,1154.5367965367966,154.2528787878788
243,Building_Code-B141 - Account_ID-1302,2018-03-01,1109.3571428571427,146.48666666666668
244,Building_Code-B141 - Account_ID-1302,2018-04-01,703.5714285714286,115.22797619047618
245,Building_Code-B141 - Account_ID-1302,2018-05-01,204.2012987012987,70.48853896103896
246,Building_Code-B141 - Account_ID-1302,2018-06-01,49.39393939393939,51.06681818181817
247,Building_Code-B141 - Account_ID-1302,2018-07-01,11.520833333333332,48.243125000000006
248,Building_Code-B141 - Account_ID-1302,2018-08-01,15.955357142857142,46.47794642857143
249,Building_Code-B141 - Account_ID-1302,2018-09-01,36.107142857142854,51.53142857142857
250,Building_Code-B141 - Account_ID-1302,2018-10-01,317.32142857142856,77.86535714285714
251,Building_Code-B141 - Account_ID-1302,2018-11-01,782.2098214285714,118.79776785714284
252,Building_Code-B141 - Account_ID-1302,2018-12-01,1172.7901785714287,150.56937499999998
253,Building_Code-B141 - Account_ID-1302,2019-01-01,1347.7012987012988,102.58575757575758
254,Building_Code-B141 - Account_ID-1302,2019-02-01,1321.0909090909092,93.7830303030303
255,Building_Code-B145 - Account_ID-1332,2014-12-01,2100.7058823529414,407.44029411764706
256,Building_Code-B145 - Account_ID-1332,2015-01-01,2515.47261663286,464.6217342799189
257,Building_Code-B145 - Account_ID-1332,2015-02-01,3134.6829810901,527.8565294771969
258,Building_Code-B145 - Account_ID-1332,2015-03-01,3195.203225806452,545.3856774193548
259,Building_Code-B145 - Account_ID-1332,2015-04-01,1894.9142857142856,417.3797142857142
260,Building_Code-B145 - Account_ID-1332,2015-05-01,1839.9675324675322,404.20610389610385
261,Building_Code-B145 - Account_ID-1332,2015-06-01,2161.6181818181817,432.5901818181818
262,Building_Code-B145 - Account_ID-1332,2015-07-01,2385.2,462.8446666666667
263,Building_Code-B145 - Account_ID-1332,2015-08-01,2031.5625,415.60802083333334
264,Building_Code-B145 - Account_ID-1332,2015-09-01,1773.1616379310342,448.4042780172414
265,Building_Code-B145 - Account_ID-1332,2015-10-01,2031.965517241379,584.3713793103449
266,Building_Code-B145 - Account_ID-1332,2015-11-01,1923.310344827586,402.2559051724138
267,Building_Code-B145 - Account_ID-1332,2015-12-01,3233.4193548387098,638.3472983870968
268,Building_Code-B145 - Account_ID-1332,2016-01-01,4551.187788018433,868.4775230414747
269,Building_Code-B145 - Account_ID-1332,2016-02-01,3494.756493506494,570.1062012987013
270,Building_Code-B145 - Account_ID-1332,2016-03-01,3628.015673981192,583.6889341692789
271,Building_Code-B145 - Account_ID-1332,2016-04-01,2617.7931034482763,496.61862068965513
272,Building_Code-B145 - Account_ID-1332,2016-05-01,1894.2393509127787,406.8442900608519
273,Building_Code-B145 - Account_ID-1332,2016-06-01,2134.6916835699794,427.6715720081136
274,Building_Code-B145 - Account_ID-1332,2016-07-01,2476.521551724137,480.5143103448276
275,Building_Code-B145 - Account_ID-1332,2016-08-01,2353.041666666667,457.645
276,Building_Code-B145 - Account_ID-1332,2016-09-01,2012.4367816091956,420.2717241379311
277,Building_Code-B145 - Account_ID-1332,2016-10-01,2989.4137931034484,646.3131034482758
278,Building_Code-B145 - Account_ID-1332,2016-11-01,4571.57650862069,882.7123599137932
279,Building_Code-B145 - Account_ID-1332,2016-12-01,4815.788602941177,755.2663419117647
280,Building_Code-B145 - Account_ID-1332,2017-01-01,4038.6533613445376,647.672899159664
281,Building_Code-B145 - Account_ID-1332,2017-02-01,3801.7642857142855,737.0965714285715
282,Building_Code-B145 - Account_ID-1332,2017-03-01,3662.0333333333333,694.097
283,Building_Code-B145 - Account_ID-1332,2017-04-01,1744.6021505376345,376.7774193548387
284,Building_Code-B145 - Account_ID-1332,2017-05-01,1732.3978494623657,381.5392473118279
285,Building_Code-B145 - Account_ID-1332,2017-06-01,2193.666666666667,449.5133333333333
286,Building_Code-B145 - Account_ID-1332,2017-07-01,2680.5806451612902,538.0196774193548
287,Building_Code-B145 - Account_ID-1332,2017-08-01,2377.1612903225805,503.3183870967742
288,Building_Code-B145 - Account_ID-1332,2017-09-01,2012.9723502304146,446.42050691244236
