Building_Meter,FALSE,TRUE,PCNT
16.0 - BROWNSVILLE BLD 27_8095218,100,1,0.00990099
160.0 - BLD 01_7382890,97,6,0.058252427
161.0 - BLD 17_5536418,94,7,0.069306931
162.0 - BLD 01_8074911,100,3,0.029126214
162.0 - BLD 02_7908851,97,6,0.058252427
162.0 - BLD 03_8074912,100,3,0.029126214
163.0 - BLD 02_8096666,99,4,0.038834951
163.0 - BLD 03_8096664,99,4,0.038834951
163.0 - BLD 03_8096667,100,3,0.029126214
164.0 - BLD 01_96973681,101,2,0.019417476
165.0 - BLD 01_99800299,101,2,0.019417476
165.0 - BLD 02_99261420,99,4,0.038834951
165.0 - BLD 03_90327795,100,3,0.029126214
165.0 - BLD 04_99273488,99,4,0.038834951
166.0 - BLD 01_7251046,101,2,0.019417476
166.0 - BLD 02_8078169,94,9,0.087378641
166.0 - BLD 03_7404621,101,2,0.019417476
167.0 - BLD 01_7391017,97,6,0.058252427
168.0 - BLD 01_7025655,98,5,0.048543689
168.0 - BLD 02_7025653,100,3,0.029126214
168.0 - BLD 03_6938089,100,3,0.029126214
169.0 - BLD 01_7424127,99,2,0.01980198
169.0 - BLD 02_8078302,97,3,0.03
169.0 - BLD 03_8072598,96,3,0.03030303
169.0 - BLD 04_8078330,98,2,0.02
17.0 - BLD 10 - Community Center_8319537,64,2,0.03030303
17.0 - JOHNSON BLD 01_8093710,75,2,0.025974026
17.0 - JOHNSON BLD 02_8093704,75,2,0.025974026
17.0 - JOHNSON BLD 03_8093691,75,2,0.025974026
17.0 - JOHNSON BLD 04_8093699,75,2,0.025974026
17.0 - JOHNSON BLD 05_8093694,75,2,0.025974026
17.0 - JOHNSON BLD 06_8093709,75,2,0.025974026
17.0 - JOHNSON BLD 07_8093698,76,1,0.012987013
17.0 - JOHNSON BLD 08_8093708,74,3,0.038961039
17.0 - JOHNSON BLD 09_8093685,74,3,0.038961039
17.0 - JOHNSON BLD 10_8093703,74,3,0.038961039
17.0 - JOHNSON BLD 10_8096449,75,2,0.025974026
170.0 - BLD 01_7383523,65,4,0.057971014
170.0 - BLD 02_6815022,68,1,0.014492754
170.0 - BLD 05_7861372,68,1,0.014492754
171.0 - BLD 01_7423999,99,2,0.01980198
171.0 - BLD 02_7423997,93,8,0.079207921
171.0 - BLD 03_8078347,97,3,0.03
172.0 - BLD 01_7383554,68,1,0.014492754
172.0 - BLD 02_6310852,68,1,0.014492754
172.0 - BLD 03_7719202,68,1,0.014492754
172.0 - BLD 05_6316305,68,1,0.014492754
173.0 - BLD 05_7834068,101,2,0.019417476
174.0 - BLD 01_7835156,84,3,0.034482759
175.0 - WEST BRIGHTON I BLD 06_7860113_7500-12.2%,96,5,0.04950495
176.0 - BLD 01_8127140,101,2,0.019417476
177.0 - BLD 07_7424138,99,4,0.038834951
177.0 - BLD 08_7662314,99,4,0.038834951
177.0 - BLD 09_5648236,101,2,0.019417476
178.0 - BLD 01_7834970,65,4,0.057971014
178.0 - BLD 11_7161453,64,5,0.072463768
178.0 - BLD 19_6438125,88,2,0.022222222
178.0 - BLD 22_6540870,84,1,0.011764706
178.0 - BLD 26_7692975,96,7,0.067961165
18.0 - NA_8093927,87,1,0.011363636
18.0 - NA_8096620,84,4,0.045454545
18.0 - NA_8096623,87,1,0.011363636
18.0 - NA_8096624,87,1,0.011363636
18.0 - NA_8096628,87,2,0.02247191
18.0 - NA_8142764,87,1,0.011363636
18.0 - NA_8142769,86,2,0.022727273
18.0 - NA_8142779,64,3,0.044776119
18.0 - NA_8142780,86,3,0.033707865
18.0 - NA_8142782,86,2,0.022727273
18.0 - NA_8142798,87,1,0.011363636
180.0 - BLD 01_8074850,85,4,0.04494382
181.0 - BLD 02_8545819,100,3,0.029126214
181.0 - BLD 03_5649493,100,2,0.019607843
182.0 - BLD 01_7719140,101,2,0.019417476
182.0 - BLD 02_6383272,100,3,0.029126214
183.0 - BLD 01_6937990,99,2,0.01980198
184.0 - BLD 01_7007362,90,1,0.010989011
185.0 - BLD 01_7272247,99,4,0.038834951
186.0 - BLD 01_7719178,97,6,0.058252427
186.0 - BLD 02_6505419,98,5,0.048543689
186.0 - BLD 03_6356890,101,2,0.019417476
186.0 - BLD 04_6395328,101,2,0.019417476
187.0 - BLD 01_5648200,99,4,0.038834951
189.0 - BLD 01_7441488,67,4,0.056338028
189.0 - BLD 01_7827666,68,4,0.055555556
189.0 - BLD 02 - Community Center_8074759,100,3,0.029126214
19.0 - NA_7929554,70,3,0.04109589
19.0 - NA_7929560,71,2,0.02739726
19.0 - NA_8142774,85,3,0.034090909
19.0 - NA_8142787,86,2,0.022727273
19.0 - NA_8142965,72,1,0.01369863
19.0 - NA_8142966,68,5,0.068493151
190.0 - BLD 01_7821087,99,2,0.01980198
191.0 - BLD 01_8350349,63,4,0.059701493
192.0 - BLD 01_6439097,100,1,0.00990099
192.0 - BLD 02_6821247,98,3,0.02970297
192.0 - BLD 03 - Community Center_7116125,101,2,0.019417476
193.0 - BLD 30_8350406,97,6,0.058252427
193.0 - BLD 31_8350387,94,9,0.087378641
193.0 - BLD 32_8200767,70,4,0.054054054
193.0 - BLD 33_8350393,98,5,0.048543689
194.0 - BLD 01_7719134,95,8,0.077669903
194.0 - BLD 02_7545126,100,3,0.029126214
194.0 - BLD 03_7821184,101,2,0.019417476
195.0 - BLD 01_7117134,93,10,0.097087379
196.0 - BLD 01_8809016,101,2,0.019417476
197.0 - BLD 01_8095565,96,6,0.058823529
198.0 - BLD 18_7838856,99,4,0.038834951
199.0 - BLD 01_8545803,98,5,0.048543689
2.0 - BLD 20_6477762,91,5,0.052083333
2.0 - BLD 21 - Community Center_6842671,94,1,0.010526316
20.0 - BLD 01_8362709,60,4,0.0625
20.0 - BLD 02_8362706,61,3,0.046875
20.0 - BLD 03_8322447,62,2,0.03125
20.0 - BLD 04_8322448,62,2,0.03125
20.0 - BLD 05_8362708,60,4,0.0625
20.0 - BLD 06_8362686,62,2,0.03125
20.0 - BLD 07_8362687,61,3,0.046875
20.0 - BLD 08_8362688,62,2,0.03125
20.0 - BLD 08_8362707,62,2,0.03125
20.0 - BLD 08_8362733,62,2,0.03125
20.0 - BLD 10_8571957,62,2,0.03125
20.0 - BLD 11_8362689,61,3,0.046875
20.0 - BLD 12_8362731,60,4,0.0625
20.0 - BLD 13_8362732,62,2,0.03125
200.0 - BLD 01_7272348,96,1,0.010309278
200.0 - BLD 02_7382876,96,1,0.010309278
200.0 - BLD 03_7719179,96,1,0.010309278
200.0 - BLD 04 - Community Center_8632495,97,,0
201.0 - BLD 01_7719168,97,6,0.058252427
202.0 - BLD 01_8545890,100,3,0.029126214
203.0 - BLD 01_7466839,100,3,0.029126214
204.0 - BLD 01_6369212,98,3,0.02970297
204.0 - BLD 02_8747020,100,1,0.00990099
205.0 - BLD 01_7885252,100,3,0.029126214
205.0 - BLD 02_2934812,100,3,0.029126214
205.0 - BLD 02_8548081,100,3,0.029126214
205.0 - BLD 03_8510818,100,3,0.029126214
205.0 - BLD 03_8548055,51,1,0.019230769
205.0 - BLD 04_8088763,101,2,0.019417476
205.0 - BLD 05_2935620,49,3,0.057692308
205.0 - BLD 05_8505416,56,2,0.034482759
205.0 - BLD 05_8514570,49,2,0.039215686
205.0 - BLD 06_2935621,49,3,0.057692308
205.0 - BLD 06_8505033,56,2,0.034482759
205.0 - BLD 06_8548111,51,1,0.019230769
205.0 - BLD 07_8505069,99,4,0.038834951
205.0 - BLD 08_7955384,96,7,0.067961165
205.0 - BLD 09_8505034,101,2,0.019417476
205.0 - BLD 11_7953599,94,9,0.087378641
