account,points,anomalies
171.0 - BLD 01_7423999,101,5
171.0 - BLD 02_7423997,101,0
171.0 - BLD 03_8078347,100,2
172.0 - BLD 01_7383554,69,1
172.0 - BLD 02_6310852,69,1
172.0 - BLD 03_7719202,69,1
172.0 - BLD 05_6316305,69,4
173.0 - BLD 05_7834068,103,3
174.0 - BLD 01_7835156,87,6
175.0 - WEST BRIGHTON I BLD 06_7860113_7500-12.2%,101,3
176.0 - BLD 01_8127140,103,0
177.0 - BLD 07_7424138,103,4
177.0 - BLD 08_7662314,103,3
177.0 - BLD 09_5648236,103,1
178.0 - BLD 01_7834970,69,1
178.0 - BLD 11_7161453,69,3
178.0 - BLD 19_6438125,90,3
178.0 - BLD 22_6540870,85,0
178.0 - BLD 26_7692975,103,3
18.0 - NA_8093927,88,5
18.0 - NA_8096620,88,6
18.0 - NA_8096623,88,2
18.0 - NA_8096624,88,4
18.0 - NA_8096628,89,5
18.0 - NA_8142764,88,3
18.0 - NA_8142769,88,4
18.0 - NA_8142779,67,4
18.0 - NA_8142780,89,4
18.0 - NA_8142782,88,6
18.0 - NA_8142798,88,5
180.0 - BLD 01_8074850,89,4
181.0 - BLD 02_8545819,103,0
181.0 - BLD 03_5649493,102,0
182.0 - BLD 01_7719140,103,0
182.0 - BLD 02_6383272,103,0
183.0 - BLD 01_6937990,101,0
184.0 - BLD 01_7007362,91,0
185.0 - BLD 01_7272247,103,0
186.0 - BLD 01_7719178,103,1
186.0 - BLD 02_6505419,103,1
186.0 - BLD 03_6356890,103,2
186.0 - BLD 04_6395328,103,1
187.0 - BLD 01_5648200,103,0
189.0 - BLD 01_7441488,71,2
189.0 - BLD 01_7827666,72,4
189.0 - BLD 02 - Community Center_8074759,103,2
19.0 - NA_7929554,73,6
19.0 - NA_7929560,73,4
19.0 - NA_8142774,88,5
19.0 - NA_8142787,88,7
19.0 - NA_8142965,73,5
19.0 - NA_8142966,73,5
190.0 - BLD 01_7821087,101,1
191.0 - BLD 01_8350349,67,2
192.0 - BLD 01_6439097,101,4
192.0 - BLD 02_6821247,101,0
192.0 - BLD 03 - Community Center_7116125,103,0
193.0 - BLD 30_8350406,103,0
193.0 - BLD 31_8350387,103,1
193.0 - BLD 32_8200767,74,1
